school_name,address,postal_code,mainlevel_code
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,PRIMARY
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,PRIMARY
NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,SECONDARY
NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,SECONDARY
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,PRIMARY
NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,768578,SECONDARY
NORTHLIGHT SCHOOL,151  Towner Road,327830,SECONDARY
NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,PRIMARY
NORTHSHORE PRIMARY SCHOOL,30   Northshore Drive,828671,PRIMARY
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,MIXED LEVELS
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,PRIMARY
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,PRIMARY
ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,768454,SECONDARY
OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,SECONDARY
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,PRIMARY
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,PRIMARY
PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,SECONDARY
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,PRIMARY
PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,SECONDARY
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,PRIMARY
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,SECONDARY
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,PRIMARY
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,PRIMARY
PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,SECONDARY
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,PRIMARY
PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SECONDARY
PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,SECONDARY
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,PRIMARY
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,PRIMARY
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,PRIMARY
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,SECONDARY
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,PRIMARY
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,PRIMARY
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,PRIMARY
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,PRIMARY
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,SECONDARY
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,PRIMARY
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,PRIMARY
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,PRIMARY
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,PRIMARY
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,SECONDARY
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,SECONDARY
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,99840,PRIMARY
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,PRIMARY
RAFFLES GIRLS' SCHOOL (SECONDARY),2    BRADDELL RISE,318871,SECONDARY
RAFFLES INSTITUTION,1    RAFFLES INSTITUTION LANE,575954,MIXED LEVELS
RED SWASTIKA SCHOOL,350  BEDOK NORTH AVENUE 3,469719,PRIMARY
REGENT SECONDARY SCHOOL,50   CHOA CHU KANG NORTH 5,689621,SECONDARY
RIVER VALLEY HIGH SCHOOL,6    BOON LAY AVENUE,649961,MIXED LEVELS
RIVER VALLEY PRIMARY SCHOOL,2    RIVER VALLEY GREEN,237993,PRIMARY
RIVERSIDE PRIMARY SCHOOL,110  Woodlands Crescent,737803,PRIMARY
RIVERSIDE SECONDARY SCHOOL,3    WOODLANDS STREET 81,738524,SECONDARY
RIVERVALE PRIMARY SCHOOL,80   RIVERVALE DRIVE,545092,PRIMARY
ROSYTH SCHOOL,21   Serangoon North Avenue 4,555855,PRIMARY
RULANG PRIMARY SCHOOL,6    JURONG WEST STREET 52,649295,PRIMARY
"SCHOOL OF SCIENCE AND TECHNOLOGY, SINGAPORE",1    Technology Drive,138572,SECONDARY
"SCHOOL OF THE ARTS, SINGAPORE",1    Zubir Said Drive,227968,MIXED LEVELS
SEMBAWANG PRIMARY SCHOOL,10   SEMBAWANG DRIVE,757715,PRIMARY
SEMBAWANG SECONDARY SCHOOL,30   SEMBAWANG CRESCENT,757704,SECONDARY
SENG KANG PRIMARY SCHOOL,21   COMPASSVALE WALK,545166,PRIMARY
SENG KANG SECONDARY SCHOOL,10   COMPASSVALE LANE,545090,SECONDARY
SENGKANG GREEN PRIMARY SCHOOL,15   Fernvale Road,797636,PRIMARY
SERANGOON GARDEN SECONDARY SCHOOL,21   SERANGOON NORTH AVENUE 1,555889,SECONDARY
SERANGOON SECONDARY SCHOOL,11   UPPER SERANGOON VIEW,534237,SECONDARY
SHUQUN PRIMARY SCHOOL,8    JURONG WEST STREET 51,649332,PRIMARY
SI LING PRIMARY SCHOOL,61   WOODLANDS AVENUE 1,739067,PRIMARY
SINGAPORE CHINESE GIRLS' PRIMARY SCHOOL,190  DUNEARN ROAD,309437,PRIMARY
SINGAPORE CHINESE GIRLS' SCHOOL,190  DUNEARN ROAD,309437,SECONDARY
SINGAPORE SPORTS SCHOOL,1    Champions Way,737913,MIXED LEVELS
SOUTH VIEW PRIMARY SCHOOL,6    Choa Chu Kang Central,689762,PRIMARY
SPECTRA SECONDARY SCHOOL,1    WOODLANDS DRIVE 64,737758,SECONDARY
SPRINGDALE PRIMARY SCHOOL,71   Anchorvale Link,544799,PRIMARY
SPRINGFIELD SECONDARY SCHOOL,30   TAMPINES AVENUE 8,529593,SECONDARY
ST. ANDREW'S JUNIOR COLLEGE,5    Sorby Adams Drive,357691,JUNIOR COLLEGE
ST. ANDREW'S JUNIOR SCHOOL,2    FRANCIS THOMAS DRIVE,359337,PRIMARY
ST. ANDREW'S SECONDARY SCHOOL,15   FRANCIS THOMAS DRIVE,359342,SECONDARY
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,1602 BEDOK NORTH AVE 4,469701,PRIMARY
