OBJECTID,NAME,X,Y
306,SEMBAWANG HOT SPRING PARK,26812.28285026,46226.69404998
307,IRAU DRIVE PLAYGROUND,28751.19152239,49279.80874998
308,UPPER SERANGOON PARK,32663.79710883,37082.75679999
309,LORONG KEMUNCHUP PLAYGROUND,19944.37102174,38050.98804999
310,JALAN REMAJA INTERIM PARK,19926.84805,37739.75045823
311,FUYONG INTERIM PK,20814.36676314,37725.99609999
312,CHESTNUT CLOSE PARK,21320.73377671,38996.76294999
313,PAVILION PLAYGROUND II,19109.85822549,38929.79544999
314,CASHEW RD INTERIM PK,20727.17956548,39379.13714999
315,FABER HEIGHTS PARK,19313.26902851,34008.97999999
316,JLG: CG MRT TOL LINKWAY,16724.3577,35917.23384871
317,SBG LC ZONE 1 (TNC),26030.8558,32481.37282883
318,SBG LC ZONE 2 (CC/BTC),26179.2269,33695.37492177
319,SBG LC ZONE 3 (NOG/PV),25856.8053,32800.03130303
320,SBG LC ARBO/PRC/PRU ,26283.61811997,33787.73264999
321,FORT CANNING PARK,29479.1436,30918.53613628
322,THE FOOTHILLS FORT CANNING PK,29376.90545,30516.80383273
323,FARQUHAR GARDEN (FCP),29708.64757728,30895.95664999
324,EMPRESS PLACE,30094.6273017,29931.20054999
325,ESPLANADE PK,30256.78505,30202.718355
326,DUXTON PLAIN PK,28901.5434,29285.51987394
327,PEARL'S HILL CITY PK,28602.1473739,29660.45799999
328,RAFFLES PLACE PK,30023.4339,29558.85858669
329,TELOK AYER PK,29487.7796,28959.89859826
330,WATERBOAT HOUSE GARDEN,30243.02195,29970.77990432
331,TANJONG PAGAR PK,29386.20393483,28783.01739999
332,TELOK AYER GREEN,29594.273,29323.43135227
333,ANN SIANG HILL PK,29424.5575,29278.85084195
334,HONG LIM PK,29528.26828891,29861.57674999
335,TOA PAYOH TOWN PK,29628.85800848,34753.17254999
336,KALLANG RIVERSIDE PK,31951.02306398,32226.50174999
337,TIONG BAHRU PK,26965.902,30003.69825366
338,THOMSON RD PG,29156.40494582,33170.85804999
339,MALCOLM PK,27243.21603224,33867.80699999
340,KAMPONG GLAM PK,31302.83555,31643.33661475
341,HOOPER RD PG,29100.17915,32743.92385954
342,ROWELL RD OS,30396.0925,32304.21859765
343,SOMME RD PG,30763.7245,32642.78042983
344,BENG WAN RD PG,31618.78515,34005.28395463
345,NORTH BRIDGE GARDEN,31208.17835,31827.31960539
346,GOLDHILL AVE PG,27983.8875,33709.73812865
347,GENTLE DR PG,28821.82343245,33625.19249999
348,NOVENA PK,29056.686,33840.15060569
349,MOUNT EMILY PK,29590.64261636,31856.80304999
350,PENANG RD OS,28909.8308338,31398.94289999
351,JUBILEE PARK (FCP),29282.8938,30640.2705022
