school_name,address,postal_code,mainlevel_code,longitude,latitude
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,PRIMARY,103.911200193835,1.40507184758584
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,PRIMARY,103.923752668632,1.31996876377748
ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,768454,SECONDARY,103.837859241343,1.41532032779634
OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,SECONDARY,103.837127264403,1.28651357464735
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,PRIMARY,103.891354675017,1.38376923022123
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,PRIMARY,103.9392021807,1.37801687647812
PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,SECONDARY,103.959728202919,1.37284060102246
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,PRIMARY,103.962922699031,1.37245132722087
PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,SECONDARY,103.948962626204,1.35422732653396
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,PRIMARY,103.884846876112,1.3502545600894
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,SECONDARY,103.885120050588,1.35096755912522
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,PRIMARY,103.855341310212,1.33677864390672
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,PRIMARY,103.776250903095,1.33807302121151
PEI HWA SECONDARY SCHOOL,21   FERNVALE LINK,797702,SECONDARY,103.878461745339,1.39037504993234
PEI TONG PRIMARY SCHOOL,15   CLEMENTI AVENUE 5,129857,PRIMARY,103.767438999533,1.31666529308968
PEICAI SECONDARY SCHOOL,10   SERANGOON AVENUE 4,556094,SECONDARY,103.870010749055,1.35951583222214
PEIRCE SECONDARY SCHOOL,10   SIN MING WALK,575566,SECONDARY,103.83021606804,1.36665944653812
PEIYING PRIMARY SCHOOL,651  YISHUN RING ROAD,768687,PRIMARY,103.830143209875,1.41741627551251
PIONEER PRIMARY SCHOOL,23   JURONG WEST STREET 81,649076,PRIMARY,103.695003812477,1.34883617453427
POI CHING SCHOOL,21   TAMPINES STREET 71,529067,PRIMARY,103.935246486174,1.35765121877679
PRESBYTERIAN HIGH SCHOOL,5209 ANG MO KIO AVENUE 6,569845,SECONDARY,103.842382968794,1.38175437421949
PRINCESS ELIZABETH PRIMARY SCHOOL,30   BUKIT BATOK WEST AVENUE 3,659163,PRIMARY,103.740719208011,1.34919098857585
PUNGGOL COVE PRIMARY SCHOOL,52   Sumang Walk,828674,PRIMARY,103.89890448429,1.41158455562454
PUNGGOL GREEN PRIMARY SCHOOL,98   Punggol Walk,828772,PRIMARY,103.898794262307,1.40172590450528
PUNGGOL PRIMARY SCHOOL,61   HOUGANG AVENUE 8,538787,PRIMARY,103.894667159512,1.37820062547641
PUNGGOL SECONDARY SCHOOL,51   EDGEFIELD PLAINS,828870,SECONDARY,103.909213706482,1.40205738421399
PUNGGOL VIEW PRIMARY SCHOOL,9    Punggol Place,828845,PRIMARY,103.905299026568,1.40505250226058
QIFA PRIMARY SCHOOL,50   WEST COAST AVENUE,128104,PRIMARY,103.756629101811,1.3132658326807
QIHUA PRIMARY SCHOOL,5    WOODLANDS STREET 81,738525,PRIMARY,103.788339762066,1.44203596557592
QUEENSTOWN PRIMARY SCHOOL,310  MARGARET DR,149303,PRIMARY,103.807648475656,1.29552905587752
QUEENSTOWN SECONDARY SCHOOL,1    STRATHMORE ROAD,148800,SECONDARY,103.813190980055,1.29352126774652
QUEENSWAY SECONDARY SCHOOL,2A   MARGARET DRIVE,149295,SECONDARY,103.802207291625,1.30022271592188
RADIN MAS PRIMARY SCHOOL,1    BUKIT PURMEI AVENUE,099840,PRIMARY,103.824115781658,1.27489701529771
RAFFLES GIRLS' PRIMARY SCHOOL,21   Hillcrest Road,289072,PRIMARY,103.806397828938,1.33004178068277
