facility_type,facility_name,longitude,latitude
mrt,NICOLL HIGHWAY MRT STATION,103.86363701849602,1.299766835267978
mrt,CALDECOTT MRT STATION,103.8395298207638,1.3376745080443386
mrt,MARINA BAY MRT STATION,103.85459777754323,1.2764273547506024
mrt,LABRADOR PARK MRT STATION,103.80293962041964,1.2723327315964736
mrt,CHINATOWN MRT STATION,103.84342677594374,1.2843595782329786
mrt,TAN KAH KEE MRT STATION,103.80732220761212,1.3258832089224446
mrt,TIONG BAHRU MRT STATION,103.82701943092376,1.28619339285898
mrt,HILLVIEW MRT STATION,103.76741825445647,1.3623448685278603
mrt,KING ALBERT PARK MRT STATION,103.78380665887346,1.3356651207597656
mrt,MATTAR MRT STATION,103.88324750917997,1.3268767147126137
mrt,UBI MRT STATION,103.8992525249772,1.329956825703842
mrt,BEAUTY WORLD MRT STATION,103.77579428529484,1.34122317571135
mrt,KAKI BUKIT MRT STATION,103.90845973446444,1.334967301564287
mrt,BEDOK NORTH MRT STATION,103.91797832977343,1.3347421167583993
mrt,DHOBY GHAUT MRT STATION,103.84611515467624,1.2987013066295312
mrt,WOODLEIGH MRT STATION,103.87081830937498,1.339190045525152
mrt,NOVENA MRT STATION,103.84382561881532,1.3204407908478988
mrt,SERANGOON MRT STATION,103.87357484685836,1.3497078753792613
mrt,BEDOK RESERVOIR MRT STATION,103.93223462362464,1.336607829810492
mrt,MARINA SOUTH PIER MRT STATION,103.86285976963735,1.2713367113291696
mrt,FARRER PARK MRT STATION,103.8541771415314,1.3123598402121364
mrt,BARTLEY MRT STATION,103.87975890622788,1.342828337737579
mrt,DAKOTA MRT STATION,103.88866260393172,1.3083826392669968
mrt,PASIR PANJANG MRT STATION,103.79135031315435,1.2762135226853348
mrt,CLARKE QUAY MRT STATION,103.84655520929512,1.2883860242011411
mrt,BISHAN MRT STATION,103.84814396447456,1.3508389876938425
mrt,MARYMOUNT MRT STATION,103.83942313256962,1.3487072630182246
mrt,HAW PAR VILLA MRT STATION,103.78181045132038,1.282542156642901
mrt,LORONG CHUAN MRT STATION,103.8641519380472,1.35161217102563
mrt,LAVENDER MRT STATION,103.86282920810665,1.3073570200955626
mrt,TAI SENG MRT STATION,103.88819486115298,1.3354333222229142
mrt,ROCHOR MRT STATION,103.85242168070454,1.3039164839645871
mrt,LITTLE INDIA MRT STATION,103.8496469665724,1.3068000253123342
mrt,STEVENS MRT STATION,103.8260244022438,1.3200655570067297
mrt,BUKIT PANJANG MRT STATION,103.76153511473294,1.379002116717668
mrt,CASHEW MRT STATION,103.76469442231075,1.3693698310643436
mrt,SIXTH AVENUE MRT STATION,103.79724631666106,1.330786387363983
mrt,TOA PAYOH MRT STATION,103.8475017643402,1.332628987123201
mrt,WOODLANDS SOUTH MRT STATION,103.7938508924378,1.4272599787112468
mrt,POTONG PASIR MRT STATION,103.86905566527228,1.3313795246192943
mrt,HOUGANG MRT STATION,103.89238051891172,1.3712922916785375
mrt,BOON KENG MRT STATION,103.8616865018698,1.3193957060230523
